Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 ;17645053567;17594543526;2881552169;17594543526;43.0125
1;8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 ;17645833907;17623449107;2881892838;17623449107;42.8852
2;8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 ;17645490132;17623184191;2882595153;17623184191;42.8645
Average;;17645459202;17613725608;2882013387;17613725608;42.9208
