Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 ;6761177153;6397048009;674280065;6397048009;20.083
1;4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 ;6761227484;6476222166;672228174;6476222166;17.7158
2;4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 ;6761272248;6492893031;661266365;6492893031;16.2043
Average;;6761225628;6455387735;669258201;6455387735;18.001
