Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 ;4398052543;4257100989;445250147;4257100989;10.6095
1;3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 ;4397921044;4229198738;446250750;4229198738;11.2699
2;3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 ;4397916543;4216294430;452237643;4216294430;11.6525
Average;;4397963377;4234198052;447912847;4234198052;11.1773
