Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 ;2069106663;2575781887;187682614;2575781887;6.68794
1;2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 ;2069819976;2594192048;185935445;2594192048;6.32005
2;2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 ;2069716030;2589963929;186921330;2589963929;6.35266
Average;;2069547556;2586645955;186846463;2586645955;6.45355
