Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 ;748298549;1446969400;48228250;1446969400;3.47144
1;1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 ;748354619;1415034975;47897251;1415034975;3.90904
2;1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 ;748391992;1404428626;47807530;1404428626;4.15162
Average;;748348387;1422144334;47977677;1422144334;3.84403
