Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 ;275191451216;270116213112;40337379105;270116213112;665.094
1;5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 ;275201852891;270153693865;40354415560;270153693865;666.021
2;5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 ;275207685690;270300412204;40416976562;270300412204;668.897
Average;;275200329932;270190106394;40369590409;270190106394;666.671
