Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 ;9080794445;8533660148;8413968306;8533660148;18.2259
1;1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 ;9080512008;8520310992;8414738877;8520310992;18.6068
2;1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 1.6209e+06 ;9080790888;8534411372;8413946552;8534411372;18.1925
Average;;9080699114;8529460837;8414217912;8529460837;18.3417
