Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;500500 500500 500500 500500 500500 500500 500500 500500 500500 500500 ;1225766363;316083034;1106620127;316083034;1.35634
1;500500 500500 500500 500500 500500 500500 500500 500500 500500 500500 ;1225769656;317202531;1106545709;317202531;1.32999
2;500500 500500 500500 500500 500500 500500 500500 500500 500500 500500 ;1225766001;317926528;1106466276;317926528;1.3117
Average;;1225767340;317070698;1106544037;317070698;1.33268
