Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 ;50271020869;95632331036;46629741156;95632331036;114.696
1;4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 ;50272360382;95661778010;46627332793;95661778010;113.497
2;4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 4.5015e+06 ;50271565881;95624495829;46628868019;95624495829;114.267
Average;;50271649044;95639534958;46628647323;95639534958;114.153
