Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 ;30882715496;50277710955;28689538933;50277710955;68.0093
1;3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 ;30881347341;50177502703;28690456138;50177502703;69.651
2;3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 3.3813e+06 ;30882160165;50233324234;28689782384;50233324234;68.7492
Average;;30882074334;50229512631;28689925818;50229512631;68.8032
