Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;180300 180300 180300 180300 180300 180300 180300 180300 180300 180300 ;244354729;46274400;218148592;46274400;0.20117
1;180300 180300 180300 180300 180300 180300 180300 180300 180300 180300 ;244338115;46274846;218145792;46274846;0.191711
2;180300 180300 180300 180300 180300 180300 180300 180300 180300 180300 ;244339173;46050862;218157668;46050862;0.189944
Average;;244344006;46200036;218150684;46200036;0.194275
