Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;980700 980700 980700 980700 980700 980700 980700 980700 980700 980700 ;3487871310;1793171390;3144284328;1793171390;3.77075
1;980700 980700 980700 980700 980700 980700 980700 980700 980700 980700 ;3487933804;1797678615;3143628554;1797678615;3.73351
2;980700 980700 980700 980700 980700 980700 980700 980700 980700 980700 ;3487887396;1799460612;3143302239;1799460612;3.71439
Average;;3487897503;1796770206;3143738374;1796770206;3.73955
