Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 ;17636365356;23072039069;16373674442;23072039069;38.4552
1;2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 ;17636404710;23072570397;16373634788;23072570397;38.4424
2;2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 2.4211e+06 ;17636411448;23073941696;16373585395;23073941696;38.4636
Average;;17636393838;23072850387;16373631542;23072850387;38.4538
