Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 ;9665057299;33168795646;2058906266;33168795646;36.4046
1;8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 ;9666904001;32987996806;2050393289;32987996806;36.9672
2;8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 8.39066e+06 ;9663326565;33196013672;2054350950;33196013672;35.5713
Average;;9665095955;33117602041;2054550168;33117602041;36.3144
