Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 ;150914846621;522885246932;33497376877;522885246932;552.765
1;5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 ;150913231581;522849356130;33501922830;522849356130;552.753
2;5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 5.24339e+07 ;150914335081;522933598955;33498043105;522933598955;551.721
Average;;150914137761;522889400672;33499114271;522889400672;552.413
