Iteration;Result Matrix;Event 0;Event 1;Event 2;Event 3;Execution Time
0;1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 ;32611742188;112529643088;6952271559;112529643088;119.33
1;1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 ;32610714325;112556903299;6956173310;112556903299;120.38
2;1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 1.88774e+07 ;32610178208;112640804264;6959722215;112640804264;120.256
Average;;32610878240;112575783550;6956055695;112575783550;119.989
